Troll score,URL
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/2eme-chance-au-grand-debat
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/a-lorigine
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/a-qui-devons-nous-faire-confiance
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/a-qui-la-faute
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/agir-urgemment-en-profondeur
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/agriculture-bio-et-transports-propres
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/aide-au-changement
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/aide-financiere-pour-linstallation-de-boitier-bio-carburant-homologue-par-lutac-poue-e85-a-venir-bio-diesel
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/aides-tout-azimut-et-clientelisme
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/amelioration-de-lair
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/amende
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/angle-de-vu-a-revoir-monsieur-de-rugy
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/arret-de-la-limitation-de-vitesse-a-80-km-heure-sur-les-grandes-ligne-droite
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/arreter-de-parler-de-transition-et-passer-a-laction-stop-aux-bullshit
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/arreter-la-stigmatisation-des-voitures-citadines
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/arretez-de-faire-nimporte-quoi-paris-nest-pas-le-centre-du-monde
0.1,https://granddebat.fr/projects/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1/proposals/arretez-de-nous-prendre-pour-des-idiots
